name	LROB1	CCIR1	MVUL	EAND	PECH	CMAT	NNAJ	LEYZ1	LIOC1	COCO1	WPIG	HNIP	HMED1	SBEN	TMUC1	CTEL	NROB1	LLON	PMAX	SNUD1	HCAR1	OXIA1	AVIR1	SYGR1	HINV1	PMEY1	AUJA1	PHRE1	PVOL1	ECRY	HMAN	TSTR1	PELO1	OFUS	MPIT1	MMIN1	RAND1
HOG00098317_72	-	-	-	-	PECH.PE_Scaf8006_1.14	-	-	-	-	COCO1.DN125634_c0_g1_i1.p1	-	-	-	-	TMUC1.DN11438_c0_g1_i1.p1	-	NROB1.DN4869_c0_g1_i1.p1	-	PMAX.gene-LOC117334060	-	-	-	AVIR1.DN86148_c0_g1_i1.p2	-	-	-	-	-	-	ECRY.ECRY_001560	-	TSTR1.DN738_c0_g1_i6.p1	-	-	-	-	-
HOG00103775_73	LROB1.DN10737_c0_g1_i3.p1	CCIR1.DN451_c0_g1_i1.p1	-	-	PECH.PE_Scaf7827_4.7	-	-	LEYZ1.DN2630_c0_g1_i3.p1	LIOC1.DN55276_c0_g1_i2.p1	COCO1.DN126_c0_g2_i2.p1	-	-	-	-	TMUC1.DN886_c0_g1_i10.p1	CTEL.gene-CAPTEDRAFT_125179	NROB1.DN16424_c1_g1_i3.p1	LLON.gene_ENSLLNG00015019546	PMAX.gene-LOC117330897	SNUD1.DN376_c0_g1_i3.p1	HCAR1.DN22876_c0_g1_i2.p1	OXIA1.DN3312_c0_g1_i1.p1	AVIR1.DN44763_c0_g1_i1.p1, AVIR1.DN3247_c0_g1_i1.p1	SYGR1.DN1557_c0_g1_i2.p1	HINV1.DN42166_c0_g1_i1.p1	PMEY1.DN4317_c0_g1_i14.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS10165	-	MMIN1.DN7244_c0_g1_i8.p1	-
HOG00074997_69	LROB1.DN29_c0_g6_i1.p1	CCIR1.DN16657_c0_g1_i1.p1	-	-	-	-	-	LEYZ1.DN382_c0_g3_i2.p1	-	COCO1.DN282_c1_g1_i2.p1	-	-	HMED1.DN7760_c0_g1_i1.p1	-	TMUC1.DN5650_c0_g1_i4.p1	-	NROB1.DN3749_c0_g1_i1.p1	-	-	SNUD1.DN7345_c0_g1_i2.p1	HCAR1.DN13164_c1_g1_i1.p1	-	AVIR1.DN22263_c0_g1_i1.p1	SYGR1.DN36836_c1_g3_i1.p1	HINV1.DN27459_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00106672_73	LROB1.DN6775_c0_g1_i8.p1	CCIR1.DN1975_c0_g1_i6.p1	-	-	PECH.PE_Scaf11686_0.5	-	-	LEYZ1.DN15044_c0_g1_i1.p1	LIOC1.DN1353_c0_g2_i5.p1	COCO1.DN73_c2_g1_i10.p1	-	-	-	SBEN.Sbene_G02613	TMUC1.DN3703_c0_g1_i11.p1	CTEL.gene-CAPTEDRAFT_150412	NROB1.DN3243_c0_g1_i5.p1	LLON.gene_ENSLLNG00015011492	PMAX.gene-LOC117316993	SNUD1.DN3070_c0_g1_i1.p1	HCAR1.DN19076_c0_g1_i1.p1	OXIA1.DN4102_c0_g1_i3.p1	AVIR1.DN11003_c0_g1_i2.p1	SYGR1.DN1299_c0_g1_i4.p1	HINV1.DN1738_c0_g1_i1.p1	PMEY1.DN3019_c0_g1_i4.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS12698	MPIT1.DN4862_c0_g1_i1.p1	MMIN1.DN5310_c0_g1_i14.p1	RAND1.DN20305_c0_g5_i2.p1, RAND1.DN16910_c0_g2_i1.p1
HOG00046472_64	-	-	-	-	-	-	-	-	-	COCO1.DN143426_c0_g1_i1.p1, COCO1.DN49024_c1_g1_i1.p1, COCO1.DN69531_c0_g1_i2.p1	-	-	HMED1.DN126951_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00104451_73	-	-	-	-	-	-	-	-	-	COCO1.DN2819_c7_g1_i1.p1	-	-	HMED1.DN22826_c0_g1_i2.p1	-	-	-	NROB1.DN2760_c0_g1_i1.p1	LLON.gene_ENSLLNG00015023468	PMAX.gene-LOC117315746	-	-	-	-	SYGR1.DN18039_c0_g1_i6.p1	HINV1.DN18771_c0_g1_i2.p1	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS5194	-	MMIN1.DN5786_c0_g1_i7.p1	-
HOG00097131_72	-	-	-	-	PECH.PE_Scaf6582_4.4	-	-	-	-	COCO1.DN12446_c0_g1_i1.p1	-	-	HMED1.DN19586_c0_g1_i1.p1	-	TMUC1.DN5991_c0_g1_i1.p1, TMUC1.DN5846_c0_g1_i1.p1	CTEL.gene-CAPTEDRAFT_186863, CTEL.gene-CAPTEDRAFT_105458	-	-	PMAX.gene-LOC117323633	-	-	-	AVIR1.DN2396_c0_g1_i18.p1	SYGR1.DN21729_c0_g1_i6.p1	-	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS6305	-	MMIN1.DN4955_c1_g1_i1.p2	-
HOG00044813_64	-	-	-	-	-	-	-	-	-	COCO1.DN79244_c0_g1_i1.p1, COCO1.DN41924_c0_g1_i5.p1	-	-	-	-	-	-	NROB1.DN25098_c0_g3_i1.p1	-	-	-	-	-	-	-	HINV1.DN25883_c0_g1_i1.p1	PMEY1.DN4513_c0_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-
HOG00046275_64	-	-	-	-	-	-	-	-	-	COCO1.DN5897_c0_g1_i3.p1, COCO1.DN5897_c2_g1_i3.p1, COCO1.DN74177_c0_g1_i2.p1	-	-	HMED1.DN19655_c1_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00051652_65	-	-	-	-	-	-	-	-	-	-	-	-	HMED1.DN1327_c0_g2_i3.p1, HMED1.DN34507_c0_g2_i7.p1	-	-	CTEL.gene-CAPTEDRAFT_205067, CTEL.gene-CAPTEDRAFT_197002	-	-	-	-	-	-	-	-	HINV1.DN3893_c0_g1_i12.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00047642_64	-	-	MVUL.evm.TU.MV025001530, MVUL.evm.TU.MV028003640, MVUL.evm.TU.MV056000120, MVUL.evm.TU.MV011008500, MVUL.evm.TU.MV016009330, MVUL.evm.TU.MV016009380	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN6436_c1_g1_i9.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00088330_71	-	-	-	-	-	-	-	-	-	COCO1.DN61819_c0_g1_i1.p1	-	-	HMED1.DN83553_c0_g1_i1.p1, HMED1.DN82123_c0_g1_i1.p1	-	-	CTEL.gene-CAPTEDRAFT_121854	NROB1.DN54325_c0_g1_i1.p1	-	-	-	-	-	AVIR1.DN46151_c0_g1_i1.p1	SYGR1.DN24863_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	MPIT1.DN140389_c0_g1_i1.p1	-	RAND1.DN492_c0_g4_i1.p1
HOG00064131_68	LROB1.DN52250_c0_g1_i1.p1	CCIR1.DN43625_c0_g1_i1.p1	-	-	-	-	-	-	-	COCO1.DN173620_c0_g1_i1.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_200998	NROB1.DN14959_c0_g2_i1.p1	-	-	-	-	-	AVIR1.DN62472_c0_g1_i1.p1, AVIR1.DN22492_c0_g2_i1.p1	SYGR1.DN7113_c0_g2_i1.p1	HINV1.DN39577_c0_g1_i1.p1	-	-	-	-	-	-	-	PELO1.DN33865_c0_g1_i1.p1	-	-	-	-
HOG00047567_64	-	-	MVUL.evm.TU.MV003016870	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN20518_c0_g3_i1.p1	-	-	-	-	-	-	-	HINV1.DN9898_c0_g1_i1.p1	-	-	-	-	-	-	-	PELO1.DN45847_c0_g1_i1.p1	-	-	-	-
HOG00082186_70	-	CCIR1.DN36086_c0_g1_i2.p1	-	-	-	-	-	-	-	COCO1.DN10908_c0_g2_i1.p1, COCO1.DN48525_c0_g1_i5.p1	-	-	HMED1.DN30295_c0_g1_i1.p1	-	TMUC1.DN34598_c0_g1_i1.p1	-	NROB1.DN18738_c0_g4_i1.p1	-	-	-	-	OXIA1.DN9407_c0_g1_i5.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	MMIN1.DN76624_c0_g1_i1.p1	-
HOG00048617_65	-	-	-	-	-	-	-	-	-	COCO1.DN21636_c1_g1_i1.p2	-	-	HMED1.DN45399_c0_g1_i1.p1	-	TMUC1.DN13129_c0_g1_i1.p1	-	NROB1.DN30459_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PELO1.DN16636_c0_g1_i1.p1	-	-	-	-
HOG00097842_72	LROB1.DN3487_c0_g1_i3.p1	CCIR1.DN2590_c0_g1_i16.p1	-	EAND.evm.TU.Chr08.848, EAND.evm.TU.Chr10.557	-	-	-	LEYZ1.DN749_c0_g1_i8.p1	LIOC1.DN368_c0_g1_i28.p1	-	-	-	-	-	-	-	NROB1.DN8349_c0_g1_i5.p1	-	PMAX.gene-LOC117322759, PMAX.gene-LOC117338877, PMAX.gene-LOC117338928, PMAX.gene-LOC117343335, PMAX.gene-LOC117340424, PMAX.gene-LOC117344094, PMAX.gene-LOC117343336	SNUD1.DN1414_c0_g1_i18.p1	-	-	AVIR1.DN10463_c2_g2_i1.p1	-	HINV1.DN3560_c0_g1_i1.p1, HINV1.DN9970_c0_g3_i5.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN7762_c0_g1_i4.p1, RAND1.DN24973_c0_g1_i1.p1, RAND1.DN559_c0_g2_i8.p1, RAND1.DN7762_c0_g2_i1.p1
HOG00045777_64	-	-	-	-	-	-	-	-	-	COCO1.DN4454_c1_g1_i14.p1	-	-	HMED1.DN10684_c1_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN19053_c0_g1_i1.p1, HINV1.DN2119_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00097005_72	LROB1.DN409_c2_g1_i5.p1	CCIR1.DN67163_c0_g1_i1.p1	-	-	PECH.PE_Scaf7795_0.11	-	-	-	-	COCO1.DN11593_c0_g1_i1.p1	-	-	-	-	TMUC1.DN4717_c0_g1_i5.p1	CTEL.gene-CAPTEDRAFT_223530	-	-	PMAX.gene-LOC117335438	SNUD1.DN65513_c0_g1_i1.p1	-	-	-	-	HINV1.DN15879_c0_g1_i2.p1	PMEY1.DN8220_c0_g1_i1.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS3201	-	-	-
HOG00105545_73	LROB1.DN5557_c0_g1_i4.p1	CCIR1.DN10106_c0_g1_i9.p1	-	-	PECH.PE_Scaf8410_6.3	-	-	-	LIOC1.DN398_c0_g2_i6.p1	COCO1.DN29272_c0_g1_i16.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_225272	NROB1.DN20337_c0_g4_i2.p1	LLON.gene_ENSLLNG00015004822	PMAX.gene-LOC117345118	SNUD1.DN56099_c0_g1_i1.p1	HCAR1.DN18078_c0_g1_i2.p1	OXIA1.DN3791_c0_g1_i24.p1	-	SYGR1.DN76934_c0_g1_i1.p1	HINV1.DN7893_c0_g1_i1.p1	-	-	PHRE1.DN7983_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-
HOG00047629_64	-	-	MVUL.evm.TU.MV006007390, MVUL.evm.TU.MV011003530, MVUL.evm.TU.MV030006420, MVUL.evm.TU.MV012010280, MVUL.evm.TU.MV019011170, MVUL.evm.TU.MV055000070, MVUL.evm.TU.MV025006090, MVUL.evm.TU.MV003001730, MVUL.evm.TU.MV142000010, MVUL.evm.TU.MV018008730, MVUL.evm.TU.MV003005390, MVUL.evm.TU.MV004013020, MVUL.evm.TU.MV031002990	EAND.evm.TU.ctg3017.2, EAND.evm.TU.Chr11.1110, EAND.evm.TU.ctg2798.3, EAND.evm.TU.Chr01.1073, EAND.evm.TU.Chr06.1326, EAND.evm.TU.Chr01.2171, EAND.evm.TU.Chr08.2066, EAND.evm.TU.Chr02.3429	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN829_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00048719_65	-	-	-	-	-	-	-	-	-	COCO1.DN5364_c0_g1_i33.p1	-	-	-	-	TMUC1.DN123_c2_g1_i3.p1	-	NROB1.DN894_c0_g1_i5.p1	-	-	-	-	-	-	-	HINV1.DN37205_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN61664_c0_g1_i1.p1
HOG00096095_72	-	-	-	-	-	-	-	-	-	COCO1.DN408_c1_g2_i12.p1	-	-	-	SBEN.Sbene_G11847	TMUC1.DN38733_c0_g2_i2.p1	CTEL.gene-CAPTEDRAFT_90017	NROB1.DN17027_c1_g1_i4.p1	-	PMAX.gene-LOC117329767	SNUD1.DN21572_c0_g1_i3.p1	HCAR1.DN13583_c0_g1_i2.p1	-	-	-	-	PMEY1.DN25522_c0_g1_i1.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS5292	-	MMIN1.DN6819_c0_g1_i8.p1	-
HOG00055288_67	LROB1.DN1228_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	TMUC1.DN30116_c0_g1_i5.p1	-	NROB1.DN16380_c0_g1_i1.p1	-	-	-	-	-	-	-	HINV1.DN1334_c0_g1_i2.p1	PMEY1.DN12029_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN8600_c0_g1_i3.p1
HOG00047981_64	-	-	-	-	-	-	-	-	-	COCO1.DN88311_c1_g1_i1.p1	-	-	-	-	-	-	NROB1.DN32612_c0_g1_i1.p1, NROB1.DN64405_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	PHRE1.DN25030_c0_g2_i1.p1	-	-	-	-	-	-	-	-	-
HOG00075613_69	-	CCIR1.DN10379_c0_g2_i5.p1	-	-	PECH.PE_Scaf1242_0.4	-	-	-	-	COCO1.DN52879_c0_g1_i9.p1	-	-	HMED1.DN47804_c0_g1_i1.p1	-	-	CTEL.gene-CAPTEDRAFT_195004	-	-	-	SNUD1.DN10457_c0_g1_i11.p1, SNUD1.DN364_c3_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-	-	PELO1.DN2534_c0_g2_i9.p1	-	-	-	-
HOG00047687_64	-	-	-	-	-	-	NNAJ.FUN_045766	-	-	-	-	-	-	-	-	-	NROB1.DN26096_c0_g1_i1.p1	-	-	-	-	-	-	-	HINV1.DN37553_c0_g1_i1.p1	-	-	-	-	-	-	-	PELO1.DN21087_c0_g2_i1.p1	-	-	-	-
HOG00047583_64	-	-	MVUL.evm.TU.MV001011280, MVUL.evm.TU.MV005000120, MVUL.evm.TU.MV041003520, MVUL.evm.TU.MV001009160, MVUL.evm.TU.MV004010570, MVUL.evm.TU.MV002005750, MVUL.evm.TU.MV004013650, MVUL.evm.TU.MV011006720, MVUL.evm.TU.MV003001030, MVUL.evm.TU.MV027003330, MVUL.evm.TU.MV033005630, MVUL.evm.TU.MV017002070	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN13750_c0_g2_i1.p1, HINV1.DN9281_c0_g1_i14.p1	-	-	-	-	-	-	TSTR1.DN31517_c0_g1_i1.p1	-	-	-	-	-
HOG00081692_70	LROB1.DN4930_c0_g3_i2.p1	CCIR1.DN32110_c0_g1_i3.p1	-	-	PECH.PE_Scaf8248_9.7	-	-	LEYZ1.DN15160_c1_g1_i2.p1	-	-	-	-	-	-	-	-	NROB1.DN3994_c0_g1_i1.p1	-	-	-	HCAR1.DN3820_c0_g1_i1.p1	-	AVIR1.DN863_c0_g2_i1.p1, AVIR1.DN863_c0_g1_i1.p1	SYGR1.DN11308_c0_g1_i5.p1	-	-	-	-	-	-	-	TSTR1.DN2388_c0_g3_i1.p1	-	-	-	MMIN1.DN16170_c0_g4_i1.p1	-
HOG00108062_73	-	CCIR1.DN2371_c0_g1_i6.p1	-	-	-	-	-	LEYZ1.DN7596_c0_g1_i6.p1	-	COCO1.DN12252_c2_g1_i3.p1, COCO1.DN2682_c0_g1_i2.p1	-	-	HMED1.DN108596_c0_g1_i1.p1	SBEN.Sbene_G12922	-	CTEL.gene-CAPTEDRAFT_100896, CTEL.gene-CAPTEDRAFT_204225	-	LLON.gene_ENSLLNG00015004616	-	SNUD1.DN137749_c0_g1_i1.p1	HCAR1.DN13450_c1_g1_i1.p1	-	AVIR1.DN25362_c0_g1_i1.p1, AVIR1.DN17288_c0_g1_i4.p1	SYGR1.DN13898_c0_g1_i6.p1	-	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS20706	-	-	-
HOG00053126_66	-	-	-	-	-	-	-	-	-	COCO1.DN34163_c0_g1_i3.p1, COCO1.DN47229_c0_g1_i1.p1	-	-	-	SBEN.Sbene_G12813, SBEN.Sbene_G00427	-	CTEL.gene-CAPTEDRAFT_111992	-	-	-	-	-	-	-	-	-	-	-	-	PVOL1.DN18869_c1_g1_i2.p1	-	-	-	-	-	-	-	-
HOG00059227_67	-	CCIR1.DN96806_c0_g1_i1.p1, CCIR1.DN22446_c0_g1_i1.p1	MVUL.evm.TU.MV025001210	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN32947_c0_g1_i1.p1	-	-	-	-	-	-	-	HINV1.DN45602_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN26730_c0_g1_i1.p1
HOG00046307_64	-	-	-	-	-	-	-	-	-	COCO1.DN36146_c0_g1_i2.p1, COCO1.DN4470_c0_g1_i2.p1, COCO1.DN60878_c0_g1_i1.p1, COCO1.DN19027_c0_g1_i1.p1, COCO1.DN26754_c0_g1_i3.p1, COCO1.DN18395_c0_g1_i2.p1, COCO1.DN29040_c1_g3_i1.p1, COCO1.DN101771_c0_g1_i1.p1, COCO1.DN9386_c0_g1_i3.p1, COCO1.DN7755_c0_g1_i3.p1, COCO1.DN44951_c0_g1_i2.p1, COCO1.DN31486_c0_g1_i1.p1, COCO1.DN9386_c0_g2_i3.p1, COCO1.DN21607_c0_g1_i1.p1, COCO1.DN10956_c0_g1_i10.p1, COCO1.DN29040_c3_g1_i1.p1, COCO1.DN17894_c0_g2_i4.p1, COCO1.DN64369_c0_g2_i1.p1, COCO1.DN26019_c0_g2_i1.p1, COCO1.DN9386_c1_g2_i2.p1, COCO1.DN47186_c0_g2_i1.p1, COCO1.DN19980_c0_g1_i4.p1	-	-	HMED1.DN26451_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00047889_64	-	-	-	-	-	-	NNAJ.FUN_013392	-	-	-	-	-	-	-	-	-	NROB1.DN11752_c0_g1_i1.p1	-	-	-	-	-	-	-	-	PMEY1.DN12432_c0_g3_i1.p1, PMEY1.DN12432_c0_g1_i6.p1	-	-	-	-	-	-	-	-	-	-	-
HOG00093839_71	LROB1.DN2715_c0_g1_i2.p1	CCIR1.DN3370_c0_g1_i9.p1	-	-	-	-	-	LEYZ1.DN87242_c0_g1_i1.p1	-	COCO1.DN5895_c0_g1_i31.p1	-	-	-	-	TMUC1.DN18223_c1_g1_i1.p1	-	NROB1.DN22808_c0_g1_i1.p1	-	-	SNUD1.DN5203_c1_g1_i3.p1	HCAR1.DN5703_c0_g1_i30.p1	-	AVIR1.DN1751_c0_g1_i2.p1	SYGR1.DN3557_c0_g1_i18.p1	HINV1.DN965_c0_g2_i1.p1	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS21182	-	-	RAND1.DN46349_c0_g1_i1.p1
HOG00104189_73	LROB1.DN9393_c0_g1_i15.p1	CCIR1.DN12779_c0_g1_i12.p1	-	-	PECH.PE_Scaf4857_13.5	-	-	-	LIOC1.DN14777_c0_g2_i2.p1	COCO1.DN2701_c5_g1_i1.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_160497	NROB1.DN67696_c0_g1_i1.p1	LLON.gene_ENSLLNG00015021246	PMAX.gene-LOC117336820	SNUD1.DN932_c0_g1_i3.p1	HCAR1.DN5034_c0_g1_i5.p1	OXIA1.DN3590_c1_g1_i7.p1	AVIR1.DN1855_c1_g2_i10.p1	SYGR1.DN8623_c0_g1_i13.p1	HINV1.DN10231_c0_g1_i1.p1	-	-	-	-	ECRY.ECRY_003625	-	-	-	OFUS.gene-OFUS_LOCUS12209	-	MMIN1.DN7606_c0_g1_i3.p1	-
HOG00073623_69	-	-	-	-	PECH.PE_Scaf12152_0.1	-	-	LEYZ1.DN61956_c0_g1_i1.p1	-	COCO1.DN73484_c1_g1_i1.p1	-	-	-	-	-	-	-	-	-	SNUD1.DN137516_c0_g1_i1.p1	-	-	AVIR1.DN85358_c0_g1_i1.p2, AVIR1.DN78611_c0_g1_i1.p1, AVIR1.DN35017_c0_g1_i1.p1, AVIR1.DN53827_c0_g1_i1.p1, AVIR1.DN61690_c0_g1_i1.p1	SYGR1.DN74282_c0_g1_i1.p1	-	-	-	-	-	-	-	-	PELO1.DN23694_c0_g1_i1.p1	-	-	-	-
HOG00069655_68	-	-	MVUL.evm.TU.MV011011620	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN20746_c0_g2_i1.p1	-	-	-	-	-	-	SYGR1.DN22446_c3_g1_i1.p1	-	-	-	-	-	ECRY.ECRY_016994, ECRY.ECRY_008878, ECRY.ECRY_002252, ECRY.ECRY_008662	-	-	-	-	-	-	-
HOG00045082_64	-	-	-	-	-	-	-	-	-	COCO1.DN158966_c0_g1_i1.p1	-	-	-	-	-	-	NROB1.DN27929_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	-	PHRE1.DN47973_c0_g1_i1.p1	PVOL1.DN60279_c0_g1_i2.p1	-	-	-	-	-	-	-	-
HOG00107173_73	-	CCIR1.DN59742_c0_g1_i1.p1	-	-	-	-	-	LEYZ1.DN98303_c0_g1_i1.p1	-	COCO1.DN20879_c0_g1_i1.p1	-	-	HMED1.DN93136_c0_g1_i1.p1	-	-	CTEL.gene-CAPTEDRAFT_170358	-	LLON.gene_ENSLLNG00015004211	-	SNUD1.DN4640_c0_g1_i1.p1	HCAR1.DN7625_c0_g1_i2.p1	-	-	SYGR1.DN13832_c1_g1_i3.p1	-	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS26701	MPIT1.DN9750_c0_g1_i3.p1	MMIN1.DN9390_c0_g1_i13.p1	-
HOG00107111_73	LROB1.DN20059_c0_g3_i1.p1	CCIR1.DN18528_c0_g1_i7.p1	-	-	-	-	-	-	-	COCO1.DN13198_c0_g1_i12.p1	-	-	HMED1.DN29066_c0_g1_i23.p1	-	-	CTEL.gene-CAPTEDRAFT_108217	-	LLON.gene_ENSLLNG00015011215	PMAX.gene-LOC117316386	SNUD1.DN16320_c0_g1_i2.p1	-	-	-	-	-	PMEY1.DN3401_c0_g1_i3.p1	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS1212	-	MMIN1.DN12997_c0_g1_i4.p1	-
HOG00093125_71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SNUD1.DN73860_c0_g1_i1.p1, SNUD1.DN95305_c0_g1_i1.p1	HCAR1.DN62910_c0_g1_i1.p1, HCAR1.DN154604_c0_g1_i1.p1	-	-	-	HINV1.DN38272_c0_g1_i1.p1	-	-	-	-	-	-	-	PELO1.DN28962_c0_g1_i1.p1	OFUS.gene-OFUS_LOCUS6854	-	MMIN1.DN28774_c0_g1_i1.p1	-
HOG00074734_69	-	-	-	-	-	-	-	LEYZ1.DN5690_c0_g1_i6.p1	LIOC1.DN11101_c0_g3_i2.p1	COCO1.DN36320_c0_g1_i1.p1, COCO1.DN198211_c0_g1_i1.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_217275	-	-	-	SNUD1.DN2301_c0_g1_i2.p1	HCAR1.DN8397_c0_g1_i9.p1, HCAR1.DN698_c0_g2_i2.p1, HCAR1.DN1404_c0_g1_i1.p1, HCAR1.DN1887_c0_g1_i7.p1, HCAR1.DN698_c0_g1_i4.p1	-	-	-	-	PMEY1.DN125_c0_g2_i5.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN4184_c0_g2_i4.p1, RAND1.DN12568_c0_g2_i7.p1, RAND1.DN12568_c0_g1_i17.p1
HOG00046573_64	-	-	-	-	-	-	-	-	-	COCO1.DN61446_c0_g1_i1.p1, COCO1.DN18240_c0_g1_i1.p1, COCO1.DN2831_c1_g1_i1.p1, COCO1.DN60308_c0_g1_i3.p1, COCO1.DN11695_c5_g1_i2.p1, COCO1.DN71503_c0_g1_i1.p1	-	-	HMED1.DN125998_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00076248_69	-	-	-	-	-	CMAT.FUN_029417	NNAJ.FUN_028607	-	-	COCO1.DN30845_c0_g1_i4.p1, COCO1.DN21406_c1_g1_i1.p1	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_194422	-	-	-	SNUD1.DN140480_c0_g1_i1.p1, SNUD1.DN23455_c1_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00045172_64	-	-	-	-	-	-	-	-	-	COCO1.DN49097_c0_g1_i12.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PVOL1.DN6740_c0_g3_i3.p1	-	-	TSTR1.DN2916_c0_g1_i3.p1, TSTR1.DN945_c0_g1_i6.p1	-	-	-	-	-
HOG00047628_64	-	-	MVUL.evm.TU.MV023004180, MVUL.evm.TU.MV025006670, MVUL.evm.TU.MV038000020, MVUL.evm.TU.MV003010100, MVUL.evm.TU.MV021006330	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HINV1.DN30809_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-
HOG00096869_72	LROB1.DN5166_c0_g3_i1.p1	CCIR1.DN8489_c0_g1_i2.p1	MVUL.evm.TU.MV017002150	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN34362_c1_g2_i2.p1	-	PMAX.gene-LOC117314795, PMAX.gene-LOC117319743, PMAX.gene-LOC117344514	SNUD1.DN1540_c5_g1_i3.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS3899	-	-	-
HOG00048633_65	-	-	-	-	-	-	-	-	-	COCO1.DN34671_c0_g1_i2.p1	-	-	-	-	TMUC1.DN105030_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	HINV1.DN38451_c0_g1_i1.p1	PMEY1.DN12531_c0_g2_i1.p1	-	-	-	-	-	TSTR1.DN33539_c0_g1_i1.p1	-	-	-	-	-
